	SP803280_proteinas	Saccharum_officinarum_LA_Purple.protein	Saccharum_spontaneum_AP85-441.protein	Saccharum_spontaneum_NpX.protein	sorgo_proteinas
SP803280_proteinas	0.0	52763.0	35724.0	101473.0	19005.0
Saccharum_officinarum_LA_Purple.protein	29671.0	0.0	17520.0	45031.0	6843.0
Saccharum_spontaneum_AP85-441.protein	10992.0	7741.0	0.0	7394.0	1779.0
Saccharum_spontaneum_NpX.protein	38294.0	25468.0	9471.0	0.0	4022.0
sorgo_proteinas	3015.0	2215.0	1483.0	1954.0	0.0
