	SP803280_proteinas	Saccharum_officinarum_LA_Purple.protein	Saccharum_spontaneum_AP85-441.protein	Saccharum_spontaneum_NpX.protein	sorgo_proteinas
SP803280_proteinas	0.0	13908.0	2434.0	7226.0	79.0
Saccharum_officinarum_LA_Purple.protein	32071.0	0.0	2312.0	6016.0	114.0
Saccharum_spontaneum_AP85-441.protein	24555.0	13524.0	0.0	12176.0	278.0
Saccharum_spontaneum_NpX.protein	23898.0	12762.0	3344.0	0.0	130.0
sorgo_proteinas	26148.0	22081.0	13446.0	20965.0	0.0
