Orthogroup	Duplications (all)	Duplications (50% support)
OG0000317	88	83
OG0000318	80	70
OG0000319	92	92
OG0000320	79	74
OG0000321	87	87
OG0000322	75	68
OG0000323	69	62
OG0000324	73	63
OG0000325	86	83
OG0000326	84	83
OG0000327	83	67
OG0000328	89	89
OG0000329	74	74
OG0000330	76	75
OG0000331	81	76
OG0000332	75	74
OG0000333	81	69
OG0000334	82	64
OG0000335	79	77
OG0000336	82	77
OG0000337	76	65
OG0000338	92	92
OG0000339	67	63
OG0000340	83	83
OG0000341	82	81
OG0000342	90	85
OG0000343	81	78
OG0000344	85	72
OG0000345	68	60
OG0000346	81	78
OG0000347	70	67
OG0000348	78	75
OG0000349	82	82
OG0000350	80	66
OG0000351	82	72
OG0000352	87	87
OG0000353	80	76
OG0000354	10	10
OG0000355	72	63
OG0000356	9	8
OG0000357	73	72
OG0000358	67	60
OG0000359	73	69
OG0000360	75	66
OG0000361	82	81
OG0000362	76	76
OG0000363	77	71
OG0000364	68	68
OG0000365	70	65
OG0000366	75	75
OG0000367	83	83
OG0000368	77	77
OG0000369	76	73
OG0000370	72	70
OG0000371	67	59
OG0000372	77	77
OG0000373	67	57
OG0000374	73	64
OG0000375	80	77
OG0000376	82	76
OG0000377	74	66
OG0000378	76	73
OG0000379	79	68
OG0000380	67	58
OG0000381	80	79
OG0000382	80	73
OG0000383	60	55
OG0000384	67	67
OG0000385	87	87
OG0000386	65	64
OG0000387	53	49
OG0000388	72	70
OG0000389	85	85
OG0000390	85	85
OG0000391	64	62
OG0000392	78	77
OG0000393	73	71
OG0000394	81	80
OG0000395	68	56
OG0000396	73	67
OG0000397	77	75
OG0000398	76	68
OG0000399	74	73
OG0000400	85	73
OG0000401	78	76
OG0000402	77	77
OG0000403	63	55
OG0000404	78	78
OG0000405	60	54
OG0000406	70	63
OG0000407	68	58
OG0000408	79	78
OG0000409	66	64
OG0000410	82	82
OG0000411	64	62
OG0000412	72	69
OG0000413	81	72
OG0000414	69	60
OG0000415	68	62
OG0000416	77	69
OG0000417	76	74
OG0000418	75	68
OG0000419	60	56
OG0000420	48	42
OG0000421	83	83
OG0000422	73	73
OG0000423	68	64
OG0000424	54	48
OG0000425	70	68
OG0000426	67	52
OG0000427	81	81
OG0000428	81	81
OG0000429	84	84
OG0000430	77	76
OG0000431	70	68
OG0000432	73	69
OG0000433	60	57
OG0000434	71	70
OG0000435	55	53
OG0000436	71	71
OG0000437	76	73
OG0000438	75	62
OG0000439	72	65
OG0000440	66	50
OG0000441	75	75
OG0000442	57	55
OG0000443	64	57
OG0000444	62	57
OG0000445	85	85
OG0000446	65	65
OG0000447	58	46
OG0000448	56	54
OG0000449	66	60
OG0000450	69	57
OG0000451	69	65
OG0000452	76	72
OG0000453	76	72
OG0000454	68	66
OG0000455	73	58
OG0000456	66	59
OG0000457	58	50
OG0000458	72	71
OG0000459	74	71
OG0000460	71	64
OG0000461	78	78
OG0000462	63	59
OG0000463	69	60
OG0000464	67	61
OG0000465	68	67
OG0000466	68	65
OG0000467	74	74
OG0000468	76	76
OG0000469	64	63
OG0000470	81	81
OG0000471	70	65
OG0000472	71	67
OG0000473	83	83
OG0000474	67	65
OG0000475	72	72
OG0000476	36	34
OG0000477	67	56
OG0000478	60	60
OG0000479	52	44
OG0000480	61	55
OG0000481	65	58
OG0000482	74	73
OG0000483	62	53
OG0000484	71	70
OG0000485	83	83
OG0000486	53	52
OG0000487	69	63
OG0000488	44	42
OG0000489	77	75
OG0000490	72	62
OG0000491	73	70
OG0000492	59	57
OG0000493	66	58
OG0000494	51	46
OG0000495	71	69
OG0000496	64	57
OG0000497	66	64
OG0000498	63	58
OG0000499	68	66
OG0000500	73	72
OG0000501	61	60
OG0000502	54	48
OG0000503	57	50
OG0000504	73	70
OG0000505	56	53
OG0000506	64	61
OG0000507	59	50
OG0000508	70	67
OG0000509	55	53
OG0000510	60	60
OG0000511	79	79
OG0000512	29	25
OG0000513	70	70
OG0000514	64	63
OG0000515	56	54
OG0000516	61	54
OG0000517	70	70
OG0000518	66	64
OG0000519	67	57
OG0000520	75	75
OG0000521	63	50
OG0000522	58	52
OG0000523	65	56
OG0000524	62	59
OG0000525	66	60
OG0000526	7	6
OG0000527	70	60
OG0000528	75	72
OG0000529	65	56
OG0000530	56	54
OG0000531	69	66
OG0000532	59	59
OG0000533	73	71
OG0000534	65	59
OG0000535	67	67
OG0000536	68	68
OG0000537	66	65
OG0000538	67	58
OG0000539	64	62
OG0000540	72	69
OG0000541	64	57
OG0000542	65	62
OG0000543	69	66
OG0000544	71	65
OG0000545	57	48
OG0000546	59	56
OG0000547	54	48
OG0000548	66	56
OG0000549	64	62
OG0000550	64	64
OG0000551	67	67
OG0000552	65	56
OG0000553	66	63
OG0000554	70	70
OG0000555	68	58
OG0000556	63	58
OG0000557	65	61
OG0000558	77	77
OG0000559	67	64
OG0000560	63	62
OG0000561	72	68
OG0000562	74	70
OG0000563	64	60
OG0000564	65	63
OG0000565	69	66
OG0000566	72	71
OG0000567	65	59
OG0000568	65	64
OG0000569	62	55
OG0000570	64	63
OG0000571	69	56
OG0000572	66	65
OG0000573	76	76
OG0000574	66	65
OG0000575	54	47
OG0000576	66	63
OG0000577	66	57
OG0000578	74	74
OG0000579	73	67
OG0000580	71	71
OG0000581	63	62
OG0000582	66	64
OG0000583	59	46
OG0000584	54	47
OG0000585	53	50
OG0000586	68	62
OG0000587	62	62
OG0000588	58	53
OG0000589	63	60
OG0000590	52	46
OG0000591	38	33
OG0000592	51	48
OG0000593	61	59
OG0000594	74	74
OG0000595	67	57
OG0000596	61	60
OG0000597	57	56
OG0000598	60	60
OG0000599	55	49
OG0000600	73	73
OG0000601	60	57
OG0000602	64	64
OG0000603	68	68
OG0000604	63	62
OG0000605	57	54
OG0000606	64	63
OG0000607	72	72
OG0000608	69	68
OG0000609	68	60
OG0000610	55	55
OG0000611	61	56
OG0000612	73	73
OG0000613	65	62
OG0000614	68	67
OG0000615	65	64
OG0000616	65	61
OG0000617	46	43
OG0000618	60	57
OG0000619	60	55
OG0000620	60	58
OG0000621	58	51
OG0000622	68	68
OG0000623	62	62
OG0000624	56	53
OG0000625	57	51
OG0000626	51	47
OG0000627	57	55
OG0000628	38	34
OG0000629	61	60
OG0000630	63	61
OG0000631	36	30
OG0000632	67	62
OG0000633	60	57
OG0000634	67	66
OG0000635	67	66
OG0000636	56	51
OG0000637	64	57
OG0000638	66	65
OG0000639	71	71
OG0000640	55	50
OG0000641	64	63
OG0000642	17	9
OG0000643	68	68
OG0000644	62	60
OG0000645	62	60
OG0000646	73	73
OG0000647	57	57
OG0000648	42	41
OG0000649	74	74
OG0000650	59	56
OG0000651	71	71
OG0000652	54	48
OG0000653	70	65
OG0000654	55	47
OG0000655	74	74
OG0000656	69	55
OG0000657	62	59
OG0000658	62	60
OG0000659	57	48
OG0000660	67	63
OG0000661	66	65
OG0000662	63	63
OG0000663	50	49
OG0000664	63	62
OG0000665	55	52
OG0000666	62	48
OG0000667	72	72
OG0000668	66	66
OG0000669	59	59
OG0000670	67	62
OG0000671	55	48
OG0000672	57	57
OG0000673	69	62
OG0000674	57	51
OG0000675	63	53
OG0000676	65	64
OG0000677	64	52
OG0000678	61	61
OG0000679	56	54
OG0000680	62	60
OG0000681	59	50
OG0000682	72	72
OG0000683	57	51
OG0000684	60	55
OG0000685	62	54
OG0000686	74	74
OG0000687	43	41
OG0000688	50	46
OG0000689	56	52
OG0000690	48	42
OG0000691	54	50
OG0000692	63	58
OG0000693	59	53
OG0000694	54	47
OG0000695	60	58
OG0000696	51	41
OG0000697	59	54
OG0000698	54	49
OG0000699	32	26
OG0000700	61	59
OG0000701	64	60
OG0000702	35	33
OG0000703	64	64
OG0000704	58	58
OG0000705	59	54
OG0000706	42	39
OG0000707	60	58
OG0000708	58	54
OG0000709	61	57
OG0000710	65	59
OG0000711	60	56
OG0000712	67	67
OG0000713	53	45
OG0000714	62	62
OG0000715	45	39
OG0000716	49	44
OG0000717	59	53
OG0000718	64	60
OG0000719	49	42
OG0000720	60	57
OG0000721	31	31
OG0000722	60	57
OG0000723	50	34
OG0000724	50	49
OG0000725	68	68
OG0000726	67	67
OG0000727	59	49
OG0000728	42	41
OG0000729	51	48
OG0000730	62	61
OG0000731	55	48
OG0000732	55	47
OG0000733	57	56
OG0000734	64	63
OG0000735	61	61
OG0000736	67	66
OG0000737	60	56
OG0000738	54	52
OG0000739	53	51
OG0000740	61	60
OG0000741	59	47
OG0000742	58	48
OG0000743	58	54
OG0000744	58	58
OG0000745	55	55
OG0000746	54	54
OG0000747	57	54
OG0000748	54	46
OG0000749	58	43
OG0000750	50	50
OG0000751	57	56
OG0000752	62	54
OG0000753	60	59
OG0000754	54	50
OG0000755	53	53
OG0000756	54	44
OG0000757	55	37
OG0000758	54	54
OG0000759	59	51
OG0000760	55	53
OG0000761	55	52
OG0000762	49	44
OG0000763	57	54
OG0000764	63	60
OG0000765	58	49
OG0000766	51	46
OG0000767	51	51
OG0000768	58	54
OG0000769	40	33
OG0000770	62	60
OG0000771	65	58
OG0000772	58	56
OG0000773	66	66
OG0000774	54	51
OG0000775	52	51
OG0000776	48	37
OG0000777	60	60
OG0000778	61	51
OG0000779	61	59
OG0000780	62	61
OG0000781	53	51
OG0000782	53	49
OG0000783	59	53
OG0000784	53	50
OG0000785	17	12
OG0000786	51	50
OG0000787	50	45
OG0000788	56	52
OG0000789	62	62
OG0000790	60	57
OG0000791	50	47
OG0000792	60	60
OG0000793	56	54
OG0000794	54	53
OG0000795	59	57
OG0000796	56	56
OG0000797	49	40
OG0000798	59	58
OG0000799	67	67
OG0000800	54	50
OG0000801	62	62
OG0000802	60	55
OG0000803	58	53
OG0000804	61	60
OG0000805	53	45
OG0000806	57	48
OG0000807	64	59
OG0000808	57	57
OG0000809	59	55
OG0000810	65	59
OG0000811	60	59
OG0000812	57	53
OG0000813	53	50
OG0000814	63	57
OG0000815	54	53
OG0000816	59	53
OG0000817	62	59
OG0000818	59	56
OG0000819	70	70
OG0000820	50	48
OG0000821	29	27
OG0000822	52	50
OG0000823	57	53
OG0000824	56	51
OG0000825	58	56
OG0000826	56	53
OG0000827	54	44
OG0000828	59	54
OG0000829	48	44
OG0000830	61	59
OG0000831	55	53
OG0000832	44	44
OG0000833	46	43
OG0000834	47	42
OG0000835	52	51
OG0000836	55	55
OG0000837	46	40
OG0000838	55	47
OG0000839	53	47
OG0000840	50	48
OG0000841	57	51
OG0000842	58	58
OG0000843	38	36
OG0000844	49	42
OG0000845	61	53
OG0000846	55	40
OG0000847	60	60
OG0000848	55	46
OG0000849	42	39
OG0000850	61	58
OG0000851	58	58
OG0000852	63	63
OG0000853	47	40
OG0000854	55	54
OG0000855	54	40
OG0000856	51	39
OG0000857	58	47
OG0000858	62	62
OG0000859	37	33
OG0000860	58	55
OG0000861	45	43
OG0000862	63	63
OG0000863	41	34
OG0000864	61	57
OG0000865	55	54
OG0000866	59	59
OG0000867	57	55
OG0000868	58	58
OG0000869	46	43
OG0000870	55	52
OG0000871	45	42
OG0000872	58	56
OG0000873	66	66
OG0000874	37	31
OG0000875	56	53
OG0000876	56	47
OG0000877	49	44
OG0000878	57	55
OG0000879	59	55
OG0000880	49	44
OG0000881	5	4
OG0000882	41	37
OG0000883	55	51
OG0000884	59	59
OG0000885	68	68
OG0000886	58	47
OG0000887	55	54
OG0000888	37	29
OG0000889	61	57
OG0000890	41	39
OG0000891	36	29
OG0000892	51	49
OG0000893	67	67
OG0000894	57	56
OG0000895	40	31
OG0000896	64	64
OG0000897	54	54
OG0000898	55	46
OG0000899	39	34
OG0000900	50	49
OG0000901	52	51
OG0000902	54	54
OG0000903	57	57
OG0000904	53	47
OG0000905	55	50
OG0000906	41	34
OG0000907	50	48
OG0000908	51	39
OG0000909	58	55
OG0000910	63	60
OG0000911	59	55
OG0000912	58	52
OG0000913	58	48
OG0000914	68	68
OG0000915	61	61
OG0000916	55	51
OG0000917	57	50
OG0000918	56	55
OG0000919	56	52
OG0000920	59	48
OG0000921	62	62
OG0000922	60	58
OG0000923	66	66
OG0000924	60	58
OG0000925	57	53
OG0000926	59	58
OG0000927	46	44
OG0000928	57	54
OG0000929	50	45
OG0000930	47	47
OG0000931	51	48
OG0000932	54	53
OG0000933	64	64
OG0000934	43	36
OG0000935	52	46
OG0000936	55	42
OG0000937	57	50
OG0000938	48	47
OG0000939	60	60
OG0000940	57	57
OG0000941	60	60
OG0000942	64	64
OG0000943	41	38
OG0000944	66	66
OG0000945	63	63
OG0000946	65	65
OG0000947	56	44
OG0000948	49	48
OG0000949	47	45
OG0000950	49	44
OG0000951	53	52
OG0000952	65	65
OG0000953	55	55
OG0000954	47	43
OG0000955	46	46
OG0000956	56	56
OG0000957	65	65
OG0000958	54	53
OG0000959	55	47
OG0000960	50	48
OG0000961	41	38
OG0000962	55	55
OG0000963	57	55
OG0000964	55	53
OG0000965	63	63
OG0000966	53	47
OG0000967	56	56
OG0000968	60	60
OG0000969	49	49
OG0000970	53	50
OG0000971	58	55
OG0000972	39	36
OG0000973	55	52
OG0000974	50	49
OG0000975	52	51
OG0000976	42	40
OG0000977	55	55
OG0000978	31	22
OG0000979	51	46
OG0000980	17	16
OG0000981	54	52
OG0000982	23	22
OG0000983	51	51
OG0000984	42	37
OG0000985	61	61
OG0000986	55	47
OG0000987	59	42
OG0000988	58	49
OG0000989	55	49
OG0000990	59	50
OG0000991	53	53
OG0000992	65	65
OG0000993	48	46
OG0000994	59	54
OG0000995	47	38
OG0000996	43	39
OG0000997	51	50
OG0000998	53	51
OG0000999	52	51
OG0001000	44	40
OG0001001	58	58
OG0001002	55	52
OG0001003	49	47
OG0001004	49	46
OG0001005	51	43
OG0001006	41	41
OG0001007	56	56
OG0001008	58	56
OG0001009	52	47
OG0001010	59	58
OG0001011	57	56
OG0001012	59	58
OG0001013	48	45
OG0001014	58	54
OG0001015	49	38
OG0001016	54	51
OG0001017	54	50
OG0001018	54	52
OG0001019	64	64
OG0001020	53	48
OG0001021	43	43
OG0001022	48	43
OG0001023	48	46
OG0001024	50	47
OG0001025	43	39
OG0001026	52	50
OG0001027	66	66
OG0001028	64	64
OG0001029	59	48
OG0001030	53	53
OG0001031	50	49
OG0001032	52	48
OG0001033	59	54
OG0001034	60	58
OG0001035	59	55
OG0001036	55	55
OG0001037	51	49
OG0001038	37	35
OG0001039	51	49
OG0001040	54	47
OG0001041	44	39
OG0001042	49	48
OG0001043	48	46
OG0001044	38	34
OG0001045	47	44
OG0001046	40	35
OG0001047	49	38
OG0001048	34	29
OG0001049	49	45
OG0001050	43	39
OG0001051	50	42
OG0001052	55	55
OG0001053	51	51
OG0001054	51	48
OG0001055	54	40
OG0001056	51	48
OG0001057	51	48
OG0001058	48	47
OG0001059	59	49
OG0001060	51	39
OG0001061	29	29
OG0001062	43	39
OG0001063	49	49
OG0001064	50	45
OG0001065	53	52
OG0001066	51	49
OG0001067	57	47
OG0001068	45	39
OG0001069	49	47
OG0001070	51	51
OG0001071	61	61
OG0001072	54	41
OG0001073	45	44
OG0001074	53	51
OG0001075	53	47
OG0001076	47	42
OG0001077	50	46
OG0001078	57	54
OG0001079	62	62
OG0001080	55	51
OG0001081	57	57
OG0001082	46	45
OG0001083	52	50
OG0001084	65	65
OG0001085	65	65
OG0001086	50	50
OG0001087	49	43
OG0001088	41	39
OG0001089	15	12
OG0001090	59	57
OG0001091	42	40
OG0001092	40	34
OG0001093	49	46
OG0001094	45	39
OG0001095	44	43
OG0001096	32	30
OG0001097	48	48
OG0001098	53	50
OG0001099	39	36
