	SP803280_proteinas	Saccharum_officinarum_LA_Purple.protein	Saccharum_spontaneum_AP85-441.protein	Saccharum_spontaneum_NpX.protein	sorgo_proteinas
SP803280_proteinas	0.0	166074.0	205351.0	165010.0	360471.0
Saccharum_officinarum_LA_Purple.protein	42442.0	0.0	77583.0	64217.0	156102.0
Saccharum_spontaneum_AP85-441.protein	5552.0	5723.0	0.0	7946.0	37087.0
Saccharum_spontaneum_NpX.protein	19480.0	18801.0	40473.0	0.0	83008.0
sorgo_proteinas	235.0	299.0	657.0	378.0	0.0
