Number of species	5
Number of genes	1586714
Number of genes in orthogroups	1242689
Number of unassigned genes	344025
Percentage of genes in orthogroups	78.3
Percentage of unassigned genes	21.7
Number of orthogroups	99384
Number of species-specific orthogroups	46002
Number of genes in species-specific orthogroups	275231
Percentage of genes in species-specific orthogroups	17.3
Mean orthogroup size	12.5
Median orthogroup size	7.0
G50 (assigned genes)	22
G50 (all genes)	18
O50 (assigned genes)	16502
O50 (all genes)	25051
Number of orthogroups with all species present	19172
Number of single-copy orthogroups	7
Date	2026-08-26
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	37624	37.9	98102	7.9
'1	19950	20.1	136844	11.0
'2	11743	11.8	132935	10.7
'3	8055	8.1	137964	11.1
'4	8410	8.5	183548	14.8
'5	4396	4.4	117406	9.4
'6	2639	2.7	83924	6.8
'7	1763	1.8	65068	5.2
'8	1288	1.3	53982	4.3
'9	934	0.9	43778	3.5
'10	637	0.6	33029	2.7
11-15	1371	1.4	87402	7.0
16-20	332	0.3	29777	2.4
21-50	226	0.2	30950	2.5
51-100	12	0.0	4040	0.3
101-150	2	0.0	1272	0.1
151-200	1	0.0	788	0.1
201-500	1	0.0	1880	0.2
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	46002
2	20009
3	7020
4	7181
5	19172
