	SP803280_proteinas	Saccharum_officinarum_LA_Purple.protein	Saccharum_spontaneum_AP85-441.protein	Saccharum_spontaneum_NpX.protein	sorgo_proteinas
SP803280_proteinas	88824	39178	29839	32147	28112
Saccharum_officinarum_LA_Purple.protein	39178	45597	23659	28803	24519
Saccharum_spontaneum_AP85-441.protein	29839	23659	32104	24156	21481
Saccharum_spontaneum_NpX.protein	32147	28803	24156	36678	23981
sorgo_proteinas	28112	24519	21481	23981	28461
