Orthogroup	SP803280_proteinas	Saccharum_officinarum_LA_Purple.protein	Saccharum_spontaneum_AP85-441.protein	Saccharum_spontaneum_NpX.protein	sorgo_proteinas	Total
OG0024829	6	6	2	3	1	18
OG0024830	16	1	0	1	0	18
OG0024831	9	3	1	5	0	18
OG0024832	4	7	3	3	1	18
OG0024833	9	4	1	3	1	18
OG0024834	10	6	0	1	1	18
OG0024835	6	8	1	2	1	18
OG0024836	6	6	2	3	1	18
OG0024837	7	4	3	3	1	18
OG0024838	5	9	2	1	1	18
OG0024839	7	7	1	2	1	18
OG0024840	17	1	0	0	0	18
OG0024841	18	0	0	0	0	18
OG0024842	5	7	2	3	1	18
OG0024843	7	5	1	4	1	18
OG0024844	9	4	2	2	1	18
OG0024845	7	9	1	0	1	18
OG0024846	8	8	1	0	1	18
OG0024847	8	7	1	1	1	18
OG0024848	7	5	2	3	1	18
OG0024849	6	6	2	3	1	18
OG0024850	12	3	2	1	0	18
OG0024851	8	5	1	3	1	18
OG0024852	6	7	2	2	1	18
OG0024853	7	7	1	2	1	18
OG0024854	8	6	0	3	1	18
OG0024855	7	7	3	0	1	18
OG0024856	18	0	0	0	0	18
OG0024857	6	6	2	3	1	18
OG0024858	11	0	1	5	1	18
OG0024859	7	7	0	3	1	18
OG0024860	6	7	0	4	1	18
OG0024861	18	0	0	0	0	18
OG0024862	18	0	0	0	0	18
OG0024863	6	8	1	2	1	18
OG0024864	6	6	1	4	1	18
OG0024865	18	0	0	0	0	18
OG0024866	6	6	1	4	1	18
OG0024867	8	4	2	3	1	18
OG0024868	5	8	1	3	1	18
OG0024869	8	7	1	1	1	18
OG0024870	7	5	1	4	1	18
OG0024871	5	7	2	3	1	18
OG0024872	7	8	2	0	1	18
OG0024873	12	1	2	2	1	18
OG0024874	16	0	0	1	1	18
OG0024875	8	7	1	1	1	18
OG0024876	6	6	1	4	1	18
OG0024877	17	0	0	1	0	18
OG0024878	6	8	1	2	1	18
OG0024879	6	9	1	1	1	18
OG0024880	5	9	0	3	1	18
OG0024881	7	6	1	3	1	18
OG0024882	6	7	1	3	1	18
OG0024883	9	5	1	2	1	18
OG0024884	10	3	3	1	1	18
OG0024885	10	7	0	1	0	18
OG0024886	6	5	0	6	1	18
OG0024887	10	7	0	0	1	18
OG0024888	6	6	2	3	1	18
OG0024889	17	1	0	0	0	18
OG0024890	8	6	0	3	1	18
OG0024891	6	7	1	3	1	18
OG0024892	18	0	0	0	0	18
OG0024893	18	0	0	0	0	18
OG0024894	10	5	1	2	0	18
OG0024895	18	0	0	0	0	18
OG0024896	10	2	1	4	1	18
OG0024897	11	2	1	3	1	18
OG0024898	18	0	0	0	0	18
OG0024899	18	0	0	0	0	18
OG0024900	15	0	2	0	1	18
OG0024901	11	1	3	2	1	18
OG0024902	18	0	0	0	0	18
OG0024903	15	2	1	0	0	18
OG0024904	9	7	1	0	1	18
OG0024905	8	2	2	5	1	18
OG0024906	16	1	0	1	0	18
OG0024907	6	8	1	2	1	18
OG0024908	8	3	0	6	1	18
OG0024909	8	6	1	2	1	18
OG0024910	8	6	0	3	1	18
OG0024911	5	7	2	3	1	18
OG0024912	13	2	0	3	0	18
OG0024913	4	8	2	3	1	18
OG0024914	7	10	0	0	1	18
OG0024915	6	7	1	3	1	18
OG0024916	11	4	1	1	1	18
OG0024917	5	8	0	4	1	18
OG0024918	4	8	1	4	1	18
OG0024919	8	6	1	2	1	18
OG0024920	6	6	1	4	1	18
OG0024921	18	0	0	0	0	18
OG0024922	10	5	2	0	1	18
OG0024923	6	8	0	3	1	18
OG0024924	9	8	0	0	1	18
OG0024925	14	2	1	1	0	18
OG0024926	5	8	0	4	1	18
OG0024927	6	6	1	4	1	18
OG0024928	18	0	0	0	0	18
OG0024929	5	9	0	3	1	18
OG0024930	18	0	0	0	0	18
OG0024931	6	7	2	2	1	18
OG0024932	4	10	0	3	1	18
OG0024933	18	0	0	0	0	18
OG0024934	5	7	2	3	1	18
OG0024935	11	5	0	2	0	18
OG0024936	6	6	1	4	1	18
OG0024937	18	0	0	0	0	18
OG0024938	6	5	2	4	1	18
OG0024939	9	6	0	2	1	18
OG0024940	5	7	2	3	1	18
OG0024941	5	7	1	4	1	18
OG0024942	9	3	1	3	2	18
OG0024943	3	7	3	4	1	18
OG0024944	18	0	0	0	0	18
OG0024945	9	3	3	2	1	18
OG0024946	5	4	4	4	1	18
OG0024947	5	5	3	4	1	18
OG0024948	3	10	0	4	1	18
OG0024949	5	6	2	4	1	18
OG0024950	5	7	2	3	1	18
OG0024951	7	4	3	3	1	18
OG0024952	6	8	3	0	1	18
OG0024953	6	7	2	2	1	18
OG0024954	18	0	0	0	0	18
OG0024955	4	9	2	2	1	18
OG0024956	10	2	2	3	1	18
OG0024957	5	8	0	4	1	18
OG0024958	9	1	1	7	0	18
OG0024959	3	8	2	4	1	18
OG0024960	6	6	2	3	1	18
OG0024961	5	6	3	3	1	18
OG0024962	12	0	2	3	1	18
OG0024963	6	6	1	4	1	18
OG0024964	17	1	0	0	0	18
OG0024965	3	6	4	4	1	18
OG0024966	3	15	0	0	0	18
OG0024967	18	0	0	0	0	18
OG0024968	18	0	0	0	0	18
OG0024969	6	7	2	2	1	18
OG0024970	18	0	0	0	0	18
OG0024971	9	6	2	0	1	18
OG0024972	8	7	1	1	1	18
OG0024973	18	0	0	0	0	18
OG0024974	8	6	0	3	1	18
OG0024975	9	7	1	0	1	18
OG0024976	7	7	2	1	1	18
OG0024977	6	5	3	3	1	18
OG0024978	5	10	2	0	1	18
OG0024979	5	8	0	4	1	18
OG0024980	8	7	2	0	1	18
OG0024981	8	8	1	0	1	18
OG0024982	16	0	1	1	0	18
OG0024983	14	1	2	1	0	18
OG0024984	5	7	2	3	1	18
OG0024985	10	4	0	4	0	18
OG0024986	13	2	0	3	0	18
OG0024987	18	0	0	0	0	18
OG0024988	8	9	1	0	0	18
OG0024989	8	8	1	0	1	18
OG0024990	15	1	0	2	0	18
OG0024991	10	3	2	2	1	18
OG0024992	12	2	1	2	1	18
OG0024993	18	0	0	0	0	18
OG0024994	12	4	1	1	0	18
OG0024995	18	0	0	0	0	18
OG0024996	6	8	0	3	1	18
OG0024997	18	0	0	0	0	18
OG0024998	9	5	2	1	1	18
OG0024999	5	7	2	3	1	18
OG0025000	18	0	0	0	0	18
OG0025001	17	0	0	1	0	18
OG0025002	18	0	0	0	0	18
OG0025003	18	0	0	0	0	18
OG0025004	5	6	2	4	1	18
OG0025005	6	5	2	4	1	18
OG0025006	18	0	0	0	0	18
OG0025007	8	6	0	3	1	18
OG0025008	18	0	0	0	0	18
OG0025009	11	5	1	0	1	18
OG0025010	18	0	0	0	0	18
OG0025011	6	1	2	9	0	18
OG0025012	10	3	0	4	1	18
OG0025013	10	6	1	0	1	18
OG0025014	18	0	0	0	0	18
OG0025015	11	5	0	1	1	18
OG0025016	9	7	1	1	0	18
OG0025017	8	7	2	0	1	18
OG0025018	13	2	0	3	0	18
OG0025019	18	0	0	0	0	18
OG0025020	18	0	0	0	0	18
OG0025021	18	0	0	0	0	18
OG0025022	17	1	0	0	0	18
OG0025023	11	1	1	5	0	18
OG0025024	18	0	0	0	0	18
OG0025025	15	0	0	3	0	18
OG0025026	18	0	0	0	0	18
OG0025027	18	0	0	0	0	18
OG0025028	15	2	0	1	0	18
OG0025029	18	0	0	0	0	18
OG0025030	6	6	2	3	1	18
OG0025031	16	0	1	1	0	18
OG0025032	8	7	0	2	1	18
OG0025033	5	6	2	4	1	18
OG0025034	6	8	1	2	1	18
OG0025035	5	8	0	4	1	18
OG0025036	4	3	3	7	1	18
OG0025037	5	7	2	3	1	18
OG0025038	6	7	0	4	1	18
OG0025039	7	4	3	3	1	18
OG0025040	7	5	2	3	1	18
OG0025041	5	5	4	3	1	18
OG0025042	5	8	2	2	1	18
OG0025043	8	4	2	3	1	18
OG0025044	15	1	0	2	0	18
OG0025045	10	7	1	0	0	18
OG0025046	10	8	0	0	0	18
OG0025047	15	2	0	1	0	18
OG0025048	13	1	2	2	0	18
OG0025049	7	4	2	4	1	18
OG0025050	16	1	0	1	0	18
OG0025051	6	7	0	4	1	18
OG0025052	13	1	0	3	1	18
OG0025053	18	0	0	0	0	18
OG0025054	18	0	0	0	0	18
OG0025055	8	2	3	4	1	18
OG0025056	6	7	2	2	1	18
OG0025057	18	0	0	0	0	18
OG0025058	6	5	2	4	1	18
OG0025059	8	7	0	2	1	18
OG0025060	13	3	0	2	0	18
OG0025061	18	0	0	0	0	18
OG0025062	10	5	0	3	0	18
OG0025063	13	3	2	0	0	18
OG0025064	16	2	0	0	0	18
OG0025065	8	6	0	3	1	18
OG0025066	6	6	1	3	2	18
OG0025067	16	1	0	0	1	18
OG0025068	17	0	1	0	0	18
OG0025069	9	0	4	4	1	18
OG0025070	7	7	0	3	1	18
OG0025071	3	3	0	12	0	18
OG0025072	9	0	4	0	5	18
OG0025073	18	0	0	0	0	18
OG0025074	5	6	2	4	1	18
OG0025075	6	5	2	5	0	18
OG0025076	6	3	4	4	1	18
OG0025077	11	5	1	1	0	18
OG0025078	7	7	0	3	1	18
OG0025079	6	6	1	4	1	18
OG0025080	7	10	0	1	0	18
OG0025081	18	0	0	0	0	18
OG0025082	9	8	0	1	0	18
OG0025083	8	6	2	2	0	18
OG0025084	9	2	1	4	2	18
OG0025085	8	6	0	3	1	18
OG0025086	4	7	2	4	1	18
OG0025087	4	6	2	5	1	18
OG0025088	6	6	1	4	1	18
OG0025089	10	5	1	2	0	18
OG0025090	12	5	0	1	0	18
OG0025091	5	6	2	4	1	18
OG0025092	6	2	2	8	0	18
OG0025093	7	5	2	3	1	18
OG0025094	9	5	2	1	1	18
OG0025095	12	5	0	0	1	18
OG0025096	17	0	1	0	0	18
OG0025097	7	7	0	3	1	18
OG0025098	18	0	0	0	0	18
OG0025099	8	3	0	6	1	18
OG0025100	6	7	0	4	1	18
OG0025101	17	0	1	0	0	18
OG0025102	7	7	1	2	1	18
OG0025103	6	7	0	4	1	18
OG0025104	18	0	0	0	0	18
OG0025105	8	3	2	4	1	18
OG0025106	18	0	0	0	0	18
OG0025107	18	0	0	0	0	18
OG0025108	11	2	1	3	1	18
OG0025109	18	0	0	0	0	18
OG0025110	7	4	3	3	1	18
OG0025111	6	7	1	3	1	18
OG0025112	6	5	2	4	1	18
OG0025113	8	8	1	0	1	18
OG0025114	7	5	1	4	1	18
OG0025115	6	6	2	3	1	18
OG0025116	18	0	0	0	0	18
OG0025117	2	16	0	0	0	18
OG0025118	18	0	0	0	0	18
OG0025119	16	0	0	2	0	18
OG0025120	10	2	1	4	1	18
OG0025121	18	0	0	0	0	18
OG0025122	17	1	0	0	0	18
OG0025123	18	0	0	0	0	18
OG0025124	9	7	1	0	1	18
OG0025125	7	2	2	6	1	18
OG0025126	18	0	0	0	0	18
OG0025127	5	5	3	4	1	18
OG0025128	9	4	2	2	1	18
OG0025129	8	8	1	0	1	18
OG0025130	6	7	3	1	1	18
OG0025131	7	6	4	0	1	18
OG0025132	16	1	0	1	0	18
OG0025133	8	5	0	4	1	18
OG0025134	18	0	0	0	0	18
OG0025135	6	5	2	4	1	18
OG0025136	18	0	0	0	0	18
OG0025137	6	3	1	3	5	18
OG0025138	18	0	0	0	0	18
OG0025139	10	2	1	4	1	18
OG0025140	10	4	3	0	1	18
OG0025141	10	0	3	4	1	18
OG0025142	7	8	0	2	1	18
OG0025143	7	8	0	2	1	18
OG0025144	18	0	0	0	0	18
OG0025145	18	0	0	0	0	18
OG0025146	9	4	2	3	0	18
OG0025147	18	0	0	0	0	18
OG0025148	12	0	2	3	1	18
OG0025149	6	8	0	4	0	18
OG0025150	8	7	0	2	1	18
OG0025151	4	6	3	4	1	18
OG0025152	12	0	1	4	1	18
OG0025153	8	7	1	1	1	18
OG0025154	7	6	2	2	1	18
OG0025155	11	4	1	1	1	18
OG0025156	6	5	2	4	1	18
OG0025157	6	5	2	4	1	18
OG0025158	7	6	2	2	1	18
OG0025159	18	0	0	0	0	18
OG0025160	5	7	1	4	1	18
OG0025161	7	6	2	2	1	18
OG0025162	18	0	0	0	0	18
OG0025163	14	3	0	1	0	18
OG0025164	6	8	3	0	1	18
OG0025165	7	7	2	2	0	18
OG0025166	6	8	0	3	1	18
OG0025167	4	7	2	4	1	18
OG0025168	6	7	1	3	1	18
OG0025169	7	4	1	5	1	18
OG0025170	18	0	0	0	0	18
OG0025171	9	8	0	0	1	18
OG0025172	6	7	1	3	1	18
OG0025173	18	0	0	0	0	18
OG0025174	5	6	2	4	1	18
OG0025175	18	0	0	0	0	18
OG0025176	6	6	1	4	1	18
OG0025177	16	1	0	1	0	18
OG0025178	18	0	0	0	0	18
OG0025179	7	8	1	1	1	18
OG0025180	5	7	2	3	1	18
OG0025181	18	0	0	0	0	18
OG0025182	6	8	0	3	1	18
OG0025183	8	4	4	2	0	18
OG0025184	13	0	0	4	1	18
OG0025185	4	8	1	4	1	18
OG0025186	6	4	3	4	1	18
OG0025187	7	9	1	1	0	18
OG0025188	5	7	2	3	1	18
OG0025189	7	7	1	2	1	18
OG0025190	6	5	1	5	1	18
OG0025191	6	7	1	3	1	18
OG0025192	4	7	3	3	1	18
OG0025193	5	7	2	3	1	18
OG0025194	6	6	2	3	1	18
OG0025195	5	8	1	3	1	18
OG0025196	18	0	0	0	0	18
OG0025197	10	1	2	4	1	18
OG0025198	6	8	1	2	1	18
OG0025199	3	6	1	6	2	18
OG0025200	3	9	2	3	1	18
OG0025201	5	8	0	4	1	18
OG0025202	3	7	3	4	1	18
OG0025203	3	7	3	4	1	18
OG0025204	18	0	0	0	0	18
OG0025205	7	3	5	2	1	18
OG0025206	6	5	2	4	1	18
OG0025207	7	4	3	3	1	18
OG0025208	5	5	3	4	1	18
OG0025209	4	7	2	4	1	18
OG0025210	5	6	2	4	1	18
OG0025211	6	5	4	2	1	18
OG0025212	6	7	0	4	1	18
OG0025213	8	7	0	2	1	18
OG0025214	3	8	2	4	1	18
OG0025215	11	4	0	3	0	18
OG0025216	7	1	3	6	1	18
OG0025217	12	3	2	0	1	18
OG0025218	6	7	0	4	1	18
OG0025219	6	7	0	4	1	18
OG0025220	5	5	2	5	1	18
OG0025221	7	6	0	4	1	18
OG0025222	6	7	1	3	1	18
OG0025223	8	6	1	2	1	18
OG0025224	6	7	1	3	1	18
OG0025225	6	7	1	3	1	18
OG0025226	6	7	0	4	1	18
OG0025227	7	5	1	4	1	18
OG0025228	7	6	0	4	1	18
OG0025229	5	7	1	4	1	18
OG0025230	6	6	2	3	1	18
OG0025231	6	5	3	3	1	18
OG0025232	7	7	0	3	1	18
OG0025233	5	6	2	4	1	18
OG0025234	6	3	4	4	1	18
OG0025235	18	0	0	0	0	18
OG0025236	6	4	0	7	1	18
OG0025237	6	8	2	1	1	18
OG0025238	8	6	1	2	1	18
OG0025239	4	6	3	4	1	18
OG0025240	6	5	3	3	1	18
OG0025241	8	6	0	3	1	18
OG0025242	6	7	0	4	1	18
OG0025243	5	6	2	4	1	18
OG0025244	5	8	0	4	1	18
OG0025245	9	3	2	3	1	18
OG0025246	6	5	2	4	1	18
OG0025247	9	3	1	4	1	18
OG0025248	3	8	3	3	1	18
OG0025249	7	7	0	3	1	18
OG0025250	6	6	1	4	1	18
OG0025251	4	6	3	4	1	18
OG0025252	6	8	1	2	1	18
OG0025253	6	6	2	3	1	18
OG0025254	6	6	1	4	1	18
OG0025255	4	6	4	3	1	18
OG0025256	8	6	1	2	1	18
OG0025257	6	7	1	3	1	18
OG0025258	14	2	1	0	1	18
OG0025259	11	6	0	0	1	18
OG0025260	7	5	1	4	1	18
OG0025261	8	4	1	4	1	18
OG0025262	4	7	2	4	1	18
OG0025263	9	6	0	1	2	18
OG0025264	4	7	2	4	1	18
OG0025265	5	8	0	4	1	18
OG0025266	18	0	0	0	0	18
OG0025267	7	7	0	3	1	18
OG0025268	11	1	3	3	0	18
OG0025269	7	4	3	3	1	18
OG0025270	6	7	3	1	1	18
OG0025271	8	8	0	0	2	18
OG0025272	18	0	0	0	0	18
OG0025273	6	8	1	2	1	18
OG0025274	11	4	1	2	0	18
OG0025275	8	8	1	0	1	18
OG0025276	6	6	1	4	1	18
OG0025277	4	4	3	6	1	18
OG0025278	4	7	1	5	1	18
OG0025279	6	9	2	0	1	18
OG0025280	7	7	2	1	1	18
OG0025281	18	0	0	0	0	18
OG0025282	18	0	0	0	0	18
OG0025283	15	2	0	0	1	18
OG0025284	18	0	0	0	0	18
OG0025285	18	0	0	0	0	18
OG0025286	6	8	3	0	1	18
OG0025287	9	2	1	6	0	18
OG0025288	18	0	0	0	0	18
OG0025289	8	5	1	3	1	18
OG0025290	18	0	0	0	0	18
OG0025291	6	6	2	3	1	18
OG0025292	15	0	2	0	1	18
OG0025293	4	6	3	4	1	18
OG0025294	6	6	1	4	1	18
OG0025295	5	8	2	2	1	18
OG0025296	8	6	3	0	1	18
OG0025297	18	0	0	0	0	18
OG0025298	7	4	2	4	1	18
OG0025299	7	6	2	2	1	18
OG0025300	6	5	2	4	1	18
OG0025301	18	0	0	0	0	18
OG0025302	18	0	0	0	0	18
OG0025303	5	5	2	5	1	18
OG0025304	7	5	1	4	1	18
OG0025305	7	6	1	3	1	18
OG0025306	6	6	2	3	1	18
OG0025307	5	8	0	4	1	18
OG0025308	5	7	2	3	1	18
OG0025309	7	7	1	2	1	18
OG0025310	9	6	1	1	1	18
OG0025311	6	7	0	4	1	18
OG0025312	5	8	1	4	0	18
OG0025313	4	8	2	3	1	18
OG0025314	5	6	2	4	1	18
OG0025315	13	0	4	0	1	18
OG0025316	5	6	3	3	1	18
OG0025317	7	5	1	4	1	18
OG0025318	8	4	1	4	1	18
OG0025319	18	0	0	0	0	18
OG0025320	5	9	1	2	1	18
OG0025321	7	6	2	2	1	18
OG0025322	4	7	2	4	1	18
OG0025323	7	7	1	2	1	18
OG0025324	5	6	2	4	1	18
OG0025325	7	5	1	4	1	18
OG0025326	18	0	0	0	0	18
OG0025327	7	7	3	0	1	18
OG0025328	8	6	0	3	1	18
OG0025329	9	7	1	0	1	18
OG0025330	6	10	0	1	1	18
OG0025331	10	6	1	0	1	18
OG0025332	8	8	1	0	1	18
OG0025333	8	8	1	0	1	18
OG0025334	6	7	2	2	1	18
OG0025335	10	5	0	2	1	18
OG0025336	4	7	3	3	1	18
OG0025337	6	7	1	3	1	18
OG0025338	6	8	0	3	1	18
OG0025339	5	7	2	3	1	18
OG0025340	9	7	1	0	1	18
OG0025341	8	5	2	2	1	18
OG0025342	15	1	2	0	0	18
OG0025343	12	0	2	3	1	18
OG0025344	6	7	1	3	1	18
OG0025345	6	8	3	0	1	18
OG0025346	18	0	0	0	0	18
OG0025347	4	7	3	3	1	18
OG0025348	4	7	2	4	1	18
OG0025349	4	8	2	3	1	18
OG0025350	4	9	1	3	1	18
OG0025351	7	1	4	5	1	18
OG0025352	16	0	2	0	0	18
OG0025353	4	5	3	5	1	18
OG0025354	5	6	2	4	1	18
OG0025355	5	8	0	4	1	18
OG0025356	7	8	2	0	1	18
OG0025357	7	6	1	3	1	18
OG0025358	7	7	0	3	1	18
OG0025359	7	7	0	3	1	18
OG0025360	9	8	0	0	1	18
OG0025361	9	5	0	3	1	18
OG0025362	10	3	2	2	1	18
OG0025363	18	0	0	0	0	18
OG0025364	6	5	1	5	1	18
OG0025365	18	0	0	0	0	18
OG0025366	8	2	2	5	1	18
OG0025367	6	5	2	4	1	18
OG0025368	12	0	2	4	0	18
OG0025369	5	7	2	3	1	18
OG0025370	6	6	1	4	1	18
OG0025371	14	3	0	1	0	18
OG0025372	6	9	0	2	1	18
OG0025373	13	3	0	1	1	18
OG0025374	5	8	0	4	1	18
OG0025375	5	8	1	3	1	18
OG0025376	4	7	2	4	1	18
OG0025377	4	8	2	3	1	18
OG0025378	13	0	0	3	2	18
OG0025379	6	7	0	4	1	18
OG0025380	4	9	4	0	1	18
OG0025381	1	2	0	15	0	18
OG0025382	7	6	1	3	1	18
OG0025383	16	2	0	0	0	18
OG0025384	11	0	1	5	1	18
OG0025385	4	7	2	4	1	18
OG0025386	5	8	1	3	1	18
OG0025387	9	4	0	4	1	18
OG0025388	8	7	0	2	1	18
OG0025389	7	7	0	3	1	18
OG0025390	6	7	1	3	1	18
OG0025391	6	5	2	4	1	18
OG0025392	6	7	2	2	1	18
OG0025393	5	9	1	3	0	18
OG0025394	5	5	3	4	1	18
OG0025395	6	8	0	3	1	18
OG0025396	4	7	2	4	1	18
OG0025397	6	6	1	4	1	18
OG0025398	3	6	4	4	1	18
OG0025399	12	1	0	4	1	18
OG0025400	6	5	2	4	1	18
OG0025401	6	7	1	3	1	18
OG0025402	5	5	3	4	1	18
OG0025403	6	8	1	2	1	18
OG0025404	6	7	1	3	1	18
OG0025405	5	7	2	3	1	18
OG0025406	6	6	1	5	0	18
OG0025407	5	4	6	2	1	18
OG0025408	5	6	2	4	1	18
OG0025409	5	8	0	4	1	18
OG0025410	17	0	1	0	0	18
OG0025411	6	8	2	1	1	18
OG0025412	3	8	3	3	1	18
OG0025413	4	6	3	4	1	18
OG0025414	5	7	2	3	1	18
OG0025415	6	6	0	6	0	18
OG0025416	6	6	2	3	1	18
OG0025417	18	0	0	0	0	18
OG0025418	3	8	2	4	1	18
OG0025419	7	7	0	2	2	18
OG0025420	5	6	1	5	1	18
OG0025421	9	6	0	2	1	18
OG0025422	9	7	1	0	1	18
OG0025423	18	0	0	0	0	18
OG0025424	11	3	3	1	0	18
OG0025425	5	7	2	3	1	18
OG0025426	7	7	2	1	1	18
OG0025427	7	5	0	5	1	18
OG0025428	4	9	2	2	1	18
OG0025429	3	7	3	4	1	18
OG0025430	6	7	1	3	1	18
OG0025431	6	7	0	4	1	18
OG0025432	4	6	3	4	1	18
OG0025433	4	10	0	3	1	18
OG0025434	8	4	2	3	1	18
OG0025435	11	6	0	1	0	18
OG0025436	6	6	2	3	1	18
OG0025437	8	6	0	4	0	18
OG0025438	5	7	1	4	1	18
OG0025439	6	9	1	1	1	18
OG0025440	5	8	0	4	1	18
OG0025441	6	7	2	2	1	18
OG0025442	18	0	0	0	0	18
OG0025443	5	6	2	3	2	18
OG0025444	18	0	0	0	0	18
OG0025445	6	7	2	2	1	18
OG0025446	6	7	1	3	1	18
OG0025447	6	7	2	2	1	18
OG0025448	5	8	1	3	1	18
OG0025449	6	7	2	2	1	18
OG0025450	6	7	3	1	1	18
OG0025451	9	2	2	4	1	18
OG0025452	8	6	2	1	1	18
OG0025453	18	0	0	0	0	18
OG0025454	11	3	1	3	0	18
OG0025455	4	8	2	2	2	18
OG0025456	6	7	0	4	1	18
OG0025457	4	9	1	3	1	18
OG0025458	6	6	1	4	1	18
OG0025459	10	1	4	2	1	18
OG0025460	6	4	4	3	1	18
OG0025461	8	4	1	4	1	18
OG0025462	6	6	1	4	1	18
OG0025463	5	6	1	5	1	18
OG0025464	9	5	2	2	0	18
OG0025465	14	2	0	2	0	18
OG0025466	17	1	0	0	0	18
OG0025467	18	0	0	0	0	18
OG0025468	17	0	1	0	0	18
OG0025469	9	6	1	1	1	18
OG0025470	11	2	1	3	1	18
OG0025471	18	0	0	0	0	18
OG0025472	4	6	4	3	1	18
OG0025473	4	5	2	6	1	18
OG0025474	11	1	2	3	1	18
OG0025475	7	5	2	3	1	18
OG0025476	10	4	2	1	1	18
OG0025477	6	3	6	2	1	18
OG0025478	4	9	1	3	1	18
OG0025479	2	9	1	4	2	18
OG0025480	5	8	2	2	1	18
OG0025481	5	8	2	2	1	18
OG0025482	6	7	2	2	1	18
OG0025483	4	7	1	5	1	18
OG0025484	5	8	1	3	1	18
OG0025485	10	1	3	3	1	18
OG0025486	6	6	3	2	1	18
OG0025487	4	6	4	4	0	18
OG0025488	7	5	0	6	0	18
OG0025489	5	8	1	3	1	18
OG0025490	9	7	0	1	1	18
OG0025491	9	8	0	0	1	18
OG0025492	6	6	0	5	1	18
OG0025493	5	8	1	3	1	18
OG0025494	5	8	1	3	1	18
OG0025495	5	8	1	3	1	18
OG0025496	5	8	2	2	1	18
OG0025497	6	7	1	3	1	18
OG0025498	8	4	2	3	1	18
OG0025499	5	5	3	4	1	18
OG0025500	5	8	1	3	1	18
OG0025501	6	6	2	3	1	18
OG0025502	6	6	1	4	1	18
OG0025503	5	7	2	3	1	18
OG0025504	6	6	3	2	1	18
OG0025505	6	7	2	2	1	18
OG0025506	7	7	3	0	1	18
OG0025507	18	0	0	0	0	18
OG0025508	17	0	0	0	1	18
OG0025509	7	5	1	4	1	18
OG0025510	1	17	0	0	0	18
OG0025511	6	2	2	7	1	18
OG0025512	10	2	3	3	0	18
OG0025513	5	4	3	4	2	18
OG0025514	7	3	2	5	1	18
OG0025515	4	8	2	3	1	18
OG0025516	18	0	0	0	0	18
OG0025517	5	7	2	3	1	18
OG0025518	6	5	2	4	1	18
OG0025519	5	7	2	3	1	18
OG0025520	11	5	0	2	0	18
OG0025521	0	18	0	0	0	18
OG0025522	0	11	1	6	0	18
OG0025523	0	2	0	16	0	18
OG0025524	0	9	0	9	0	18
OG0025525	0	18	0	0	0	18
OG0025526	0	18	0	0	0	18
OG0025527	0	18	0	0	0	18
OG0025528	0	6	0	12	0	18
OG0025529	0	0	0	18	0	18
OG0025530	7	5	0	4	1	17
OG0025531	3	11	2	0	1	17
OG0025532	4	8	4	0	1	17
OG0025533	6	5	0	4	2	17
OG0025534	5	6	3	3	0	17
OG0025535	9	6	1	0	1	17
OG0025536	11	1	1	3	1	17
OG0025537	13	1	1	1	1	17
OG0025538	5	7	3	1	1	17
OG0025539	7	7	1	1	1	17
OG0025540	6	8	0	2	1	17
OG0025541	4	8	0	4	1	17
OG0025542	13	0	1	2	1	17
OG0025543	14	1	0	0	2	17
OG0025544	11	6	0	0	0	17
OG0025545	16	0	0	1	0	17
OG0025546	7	7	0	3	0	17
OG0025547	13	0	4	0	0	17
OG0025548	8	0	8	0	1	17
OG0025549	15	0	0	1	1	17
OG0025550	10	2	0	3	2	17
OG0025551	11	4	0	1	1	17
OG0025552	14	1	0	1	1	17
OG0025553	9	4	1	2	1	17
OG0025554	8	4	0	4	1	17
OG0025555	6	5	2	3	1	17
OG0025556	5	3	0	7	2	17
OG0025557	9	2	5	1	0	17
OG0025558	11	0	3	2	1	17
OG0025559	4	7	2	3	1	17
OG0025560	5	7	1	3	1	17
OG0025561	4	9	2	1	1	17
OG0025562	17	0	0	0	0	17
OG0025563	7	5	2	2	1	17
OG0025564	13	0	0	3	1	17
OG0025565	5	7	1	4	0	17
OG0025566	12	1	1	2	1	17
OG0025567	12	0	0	4	1	17
OG0025568	5	5	3	3	1	17
OG0025569	6	7	0	3	1	17
OG0025570	6	0	0	10	1	17
OG0025571	8	4	1	3	1	17
OG0025572	11	1	1	3	1	17
OG0025573	12	4	0	0	1	17
OG0025574	12	3	1	0	1	17
OG0025575	10	2	1	3	1	17
OG0025576	9	3	2	2	1	17
OG0025577	9	4	2	1	1	17
OG0025578	5	8	2	1	1	17
OG0025579	7	4	1	4	1	17
OG0025580	4	10	0	2	1	17
OG0025581	8	3	1	4	1	17
OG0025582	3	8	2	3	1	17
OG0025583	6	6	2	2	1	17
OG0025584	12	1	1	2	1	17
OG0025585	12	0	3	1	1	17
OG0025586	8	7	0	1	1	17
OG0025587	6	2	4	4	1	17
OG0025588	8	6	2	0	1	17
OG0025589	9	1	2	4	1	17
OG0025590	9	4	2	1	1	17
OG0025591	2	7	3	4	1	17
OG0025592	7	5	1	3	1	17
OG0025593	4	8	1	3	1	17
OG0025594	6	6	2	2	1	17
OG0025595	10	1	1	4	1	17
OG0025596	13	3	0	0	1	17
OG0025597	7	2	3	4	1	17
OG0025598	8	8	0	0	1	17
OG0025599	4	7	1	4	1	17
OG0025600	7	6	0	3	1	17
