	SP803280_proteinas	Saccharum_officinarum_LA_Purple.protein	Saccharum_spontaneum_AP85-441.protein	Saccharum_spontaneum_NpX.protein	sorgo_proteinas
SP803280_proteinas	0.0	419524.0	263603.0	310996.0	380391.0
Saccharum_officinarum_LA_Purple.protein	290963.0	0.0	108685.0	139286.0	164575.0
Saccharum_spontaneum_AP85-441.protein	61193.0	38258.0	0.0	42471.0	46362.0
Saccharum_spontaneum_NpX.protein	118959.0	81053.0	68243.0	0.0	89279.0
sorgo_proteinas	30234.0	26111.0	22804.0	25416.0	0.0
